t_ms,ax_g,ay_g,az_g
2039,0.0088,-1.0029,0.1045
2091,0.0107,-0.9956,0.1069
2143,0.0073,-0.9988,0.0947
2195,0.0044,-0.9929,0.1028
2247,0.0095,-1.0029,0.0920
2299,0.0100,-0.9983,0.0969
2351,0.0059,-0.9963,0.1023
2403,0.0095,-0.9961,0.0986
2455,0.0110,-1.0042,0.0974
2507,0.0076,-1.0029,0.1021
2559,0.0110,-1.0039,0.0889
2611,0.0051,-1.0005,0.0937
2663,0.0063,-1.0007,0.1094
2715,0.0081,-0.9993,0.0979
2767,0.0071,-0.9993,0.1072
2819,0.0039,-0.9961,0.1011
2871,0.0078,-0.9993,0.0957
2923,0.0076,-0.9988,0.0986
2975,0.0129,-1.0056,0.0955
3027,0.0071,-0.9985,0.0830
3079,0.0076,-1.0022,0.1023
3131,0.0068,-0.9946,0.1023
3183,0.0071,-1.0007,0.0952
3235,0.0068,-0.9993,0.0959
3287,0.0017,-1.0020,0.0974
3339,0.0051,-1.0032,0.0964
3391,0.0115,-0.9958,0.1082
3443,0.0056,-0.9966,0.1016
3495,0.0059,-1.0017,0.0969
3547,0.0037,-0.9961,0.0867
3599,0.0061,-0.9976,0.0896
3651,0.0083,-0.9973,0.1008
3703,0.0078,-0.9990,0.0999
3755,0.0049,-0.9985,0.0869
3807,0.0066,-0.9983,0.1025
3859,0.0078,-0.9968,0.1028
3911,0.0085,-0.9988,0.0974
3963,0.0015,-0.9941,0.1074
4015,0.0081,-0.9998,0.1035
4067,0.0088,-0.9985,0.1006
4119,0.0139,-0.9993,0.1047
4171,0.0068,-0.9966,0.1023
4223,0.0100,-0.9976,0.0974
4275,0.0066,-1.0022,0.0947
4327,0.0068,-0.9971,0.0994
4379,0.0054,-1.0027,0.0947
4431,0.0120,-1.0000,0.0920
4483,0.0081,-1.0000,0.0996
4535,0.0061,-0.9976,0.1028
4587,0.0071,-1.0027,0.0886
4639,0.0090,-1.0020,0.0999
4691,0.0073,-0.9958,0.1033
4743,0.0073,-0.9976,0.1060
4795,0.0103,-0.9978,0.0923
4847,0.0054,-0.9946,0.0952
4899,0.0093,-0.9980,0.0989
4951,0.0068,-1.0042,0.0989
5003,0.0105,-1.0042,0.0935
5055,0.0081,-0.9966,0.0967
5107,0.0073,-0.9993,0.1035
5159,0.0100,-0.9971,0.1072
5211,0.0071,-0.9971,0.1040
5263,0.0076,-1.0017,0.1033
5315,0.0073,-0.9983,0.1038
5367,0.0049,-1.0020,0.1018
5419,0.0137,-0.9946,0.1067
5471,0.0056,-1.0007,0.0959
5523,0.0083,-0.9990,0.1067
5575,0.0061,-0.9968,0.0979
5627,0.0046,-0.9980,0.1018
5679,0.0071,-0.9985,0.0957
5731,0.0085,-0.9980,0.0977
5783,0.0054,-0.9946,0.1079
5835,0.0073,-0.9983,0.1060
5887,0.0032,-1.0002,0.0935
5939,0.0071,-0.9968,0.1023
5991,0.0095,-0.9966,0.1062
6043,0.0085,-0.9978,0.1021
6095,0.0132,-0.9973,0.1082
6147,0.0083,-1.0000,0.1028
6199,0.0088,-0.9956,0.1096
6251,0.0066,-0.9983,0.0986
6303,0.0090,-0.9995,0.0977
6355,0.0051,-1.0015,0.1021
6407,0.0083,-0.9985,0.0955
6459,0.0088,-0.9976,0.1069
6511,0.0066,-0.9993,0.1008
6563,0.0083,-0.9968,0.1050
6615,0.0029,-0.9988,0.1030
6667,0.0100,-0.9954,0.1003
6719,0.0068,-1.0005,0.1003
6771,0.0034,-0.9978,0.1062
6823,0.0103,-0.9968,0.0984
6875,0.0105,-0.9985,0.0940
6927,0.0088,-0.9973,0.0991
6979,0.0098,-1.0015,0.0891
7031,0.0088,-0.9978,0.0981
7083,0.0068,-0.9971,0.0898
7135,0.0066,-1.0002,0.0937
7187,0.0029,-0.9993,0.0984
7239,0.0076,-0.9985,0.0898
